
-- Processing timing data ---
---- computed BOLD response envelope (onset=148.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=404.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=493.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=681.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1108.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=92.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=313.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=532.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=877.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1227.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1484.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1770.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=88.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=411.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=635.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=816.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=902.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1078.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1243.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1426.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1811.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=2019.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=149.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=405.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=494.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=682.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1109.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=93.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=314.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=533.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=878.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1228.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1485.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1771.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=89.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=412.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=636.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=817.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=903.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1079.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1244.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1427.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1812.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=2020.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=150.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=406.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=495.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=683.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1110.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=94.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=315.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=534.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=879.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1229.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1486.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1772.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=90.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=413.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=637.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=818.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=904.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1080.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1245.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1428.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1813.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=2021.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=151.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=407.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=496.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=684.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1111.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=95.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=316.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=535.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=880.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1230.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1487.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1773.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=91.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=414.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=638.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=819.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=905.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1081.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1246.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1429.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1814.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=2022.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=152.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=408.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=497.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=685.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1112.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=96.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=317.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=536.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=881.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1231.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1488.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1774.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=92.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=415.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=639.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=820.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=906.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1082.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
